Player,npxG,matched_name,score,first_name,second_name,element_type,now_cost
Joelinton,3.1,john stones,60,Joelinton,,MID,60
Enes Ãnal,2.9,dean henderson,60.86956522,Enes,Unal,FWD,55
RÃºben Dias,1.4,ruben gato alves dias,62.5,Rúben,Gato Alves Dias,DEF,55
Bruno GuimarÃ£es,4.8,bruno guimaraes rodriguez moura,62.5,Bruno,Guimarães Rodriguez Moura,MID,65
Bernardo Silva,3.7,fabio silva,64,Bernardo,Silva,MID,65
JoÃ£o Pedro,7.9,pedro lomba neto,64.28571429,Joao,Pedro,FWD,55
Diego Carlos,1.9,diego carlos santos silva,64.86486486,Diego Carlos,Santos Silva,DEF,45
Carlos VinÃ­cius,1.6,carlos vinicius alves morais,65.11627907,Carlos Vinícius,Alves Morais,FWD,50
Danilo,1.8,daniel munoz,66.66666667,Danilo,,MID,50
JoÃ£o Gomes,1.7,joe gomez,66.66666667,Joao,Gomes,MID,50
Bobby Reid,4.6,bobby clark,66.66666667,Bobby,Reid,MID,55
Richarlison,9.6,richarlison de andrade,66.66666667,Richarlison,de Andrade,FWD,70
NÃ©lson Semedo,1.3,nelson cabral semedo,66.66666667,Nélson,Cabral Semedo,DEF,45
Martin Ãdegaard,5.8,martin dubravka,66.66666667,Martin,Odegaard,MID,85
Gabriel Jesus,6.3,gabriel fernando de jesus,68.42105263,Gabriel,Fernando de Jesus,FWD,70
Diogo Dalot,1.7,diogo dalot teixeira,70.96774194,Diogo,Dalot Teixeira,DEF,50
Toti Gomes,1.6,toti antonio gomes,71.42857143,Toti António,Gomes,DEF,45
RaÃºl JimÃ©nez,5.2,raul jimenez,71.42857143,Raúl,Jiménez,FWD,55
Miguel AlmirÃ³n,4.5,miguel almiron rejala,72.22222222,Miguel,Almirón Rejala,MID,60
Edson Ãlvarez,1.3,edson alvarez velazquez,72.22222222,Edson,Álvarez Velázquez,MID,50
Gabriel MagalhÃ£es,4.3,gabriel dos santos magalhaes,72.34042553,Gabriel,dos Santos Magalhães,DEF,60
Andreas Pereira,4.6,andreas hoelgebaum pereira,73.17073171,Andreas,Hoelgebaum Pereira,MID,55
Rodrigo Muniz,8.7,rodrigo muniz carvalho,74.28571429,Rodrigo,Muniz Carvalho,FWD,60
Emerson Palmieri,1.5,emerson palmieri dos santos,74.41860465,Emerson,Palmieri dos Santos,DEF,45
Antony,3.4,ivan toney,75,Antony,,MID,60
Ãlex Moreno,1.1,alex moreno lopera,75.86206897,Álex,Moreno Lopera,DEF,45
SaÅ¡a LukiÄ,1.6,sasa lukic,76.19047619,Saša,Lukić,MID,50
Ezri Konsa,2.5,ezri konsa ngoyo,76.92307692,Ezri,Konsa Ngoyo,DEF,45
Pedro Neto,3.5,pedro lomba neto,76.92307692,Pedro,Lomba Neto,MID,65
Dominic Solanke,17.2,dominic solanke-mitchell,76.92307692,Dominic,Solanke-Mitchell,FWD,75
TomÃ¡Å¡ SouÄek,6.7,tomas soucek,76.92307692,Tomáš,Souček,MID,50
Nathan AkÃ©,2.5,nathan ake,78.26086957,Nathan,Aké,DEF,55
Ben White,1.2,benjamin white,78.26086957,Benjamin,White,DEF,65
Marc Cucurella,1.1,marc cucurella saseta,80,Marc,Cucurella Saseta,DEF,50
Bruno Fernandes,6.1,bruno borges fernandes,81.08108108,Bruno,Borges Fernandes,MID,85
Adama TraorÃ©,1.5,adama traore,81.48148148,Adama,Traoré,MID,50
Jefferson Lerma,2.7,jefferson lerma solis,83.33333333,Jefferson,Lerma Solís,MID,50
Idrissa Gana Gueye,1.3,idrissa gueye,83.87096774,Idrissa,Gueye,MID,50
Mateo KovaÄiÄ,1.3,mateo kovacic,84.61538462,Mateo,Kovačić,MID,55
Daniel MuÃ±oz,1.2,daniel munoz,84.61538462,Daniel,Muñoz,DEF,50
Pervis EstupiÃ±Ã¡n,1,pervis estupinan,85.71428571,Pervis,Estupiñán,DEF,50
Gabriel Martinelli,6.8,gabriel martinelli silva,85.71428571,Gabriel,Martinelli Silva,MID,70
Pascal GroÃ,5.7,pascal gross,86.95652174,Pascal,Groß,MID,65
Abdoulaye DoucourÃ©,8.8,abdoulaye doucoure,87.17948718,Abdoulaye,Doucouré,MID,55
Luis DÃ­az,11.9,luis diaz,88.88888889,Luis,Díaz,MID,75
JoÅ¡ko Gvardiol,3.1,josko gvardiol,89.65517241,Joško,Gvardiol,DEF,60
Rasmus HÃ¸jlund,7.6,rasmus hojlund,89.65517241,Rasmus,Højlund,FWD,70
Rayan AÃ¯t-Nouri,3.3,rayan ait-nouri,90.32258065,Rayan,Aït-Nouri,DEF,45
NicolÃ¡s DomÃ­nguez,1.3,nicolas dominguez,91.42857143,Nicolás,Domínguez,MID,50
Christian NÃ¸rgaard,3.5,christian norgaard,91.89189189,Christian,Nørgaard,MID,50
Fabian SchÃ¤r,2.5,fabian schar,92.30769231,Fabian,Schär,DEF,55
Odsonne Ãdouard,6.2,odsonne edouard,93.33333333,Odsonne,Edouard,FWD,55
Vitaliy Mykolenko,1.5,vitalii mykolenko,94.11764706,Vitalii,Mykolenko,DEF,45
Jhon DurÃ¡n,2,jhon duran,95.23809524,Jhon,Durán,FWD,60
FÃ¡bio Silva,1,fabio silva,95.65217391,Fábio,Silva,FWD,50
JuliÃ¡n Ãlvarez,11.5,julian alvarez,96.55172414,Julián,Álvarez,FWD,70
Enzo FernÃ¡ndez,4.6,enzo fernandez,96.55172414,Enzo,Fernández,MID,50
Simon Adingra,4.3,simon adingra,100,Simon,Adingra,MID,55
Nayef Aguerd,1.5,nayef aguerd,100,Nayef,Aguerd,DEF,45
Kristoffer Ajer,1.3,kristoffer ajer,100,Kristoffer,Ajer,DEF,45
Manuel Akanji,1.9,manuel akanji,100,Manuel,Akanji,DEF,55
Trent Alexander-Arnold,2.3,trent alexander-arnold,100,Trent,Alexander-Arnold,DEF,70
Joachim Andersen,1.7,joachim andersen,100,Joachim,Andersen,DEF,45
Elliot Anderson,1.5,elliot anderson,100,Elliot,Anderson,MID,50
Michail Antonio,5.8,michail antonio,100,Michail,Antonio,FWD,55
Taiwo Awoniyi,4.7,taiwo awoniyi,100,Taiwo,Awoniyi,FWD,60
Jordan Ayew,3.9,jordan ayew,100,Jordan,Ayew,MID,55
Leon Bailey,6.3,leon bailey,100,Leon,Bailey,MID,65
Harvey Barnes,3.6,harvey barnes,100,Harvey,Barnes,MID,65
Jean-Ricner Bellegarde,1.6,jean-ricner bellegarde,100,Jean-Ricner,Bellegarde,MID,50
Rodrigo Bentancur,1.9,rodrigo bentancur,100,Rodrigo,Bentancur,MID,50
Philip Billing,2.5,philip billing,100,Philip,Billing,MID,50
Yves Bissouma,1.4,yves bissouma,100,Yves,Bissouma,MID,50
Oscar Bobb,1.4,oscar bobb,100,Oscar,Bobb,MID,50
Willy Boly,1.5,willy boly,100,Willy,Boly,DEF,45
Jarrod Bowen,11.6,jarrod bowen,100,Jarrod,Bowen,MID,75
Jarrad Branthwaite,1.7,jarrad branthwaite,100,Jarrad,Branthwaite,DEF,50
Armando Broja,2.4,armando broja,100,Armando,Broja,FWD,55
David Brooks,2.2,david brooks,100,David,Brooks,MID,50
Facundo Buonanotte,2.4,facundo buonanotte,100,Facundo,Buonanotte,MID,50
Dan Burn,3.1,dan burn,100,Dan,Burn,DEF,45
Tom Cairney,1.1,tom cairney,100,Tom,Cairney,MID,50
Dominic Calvert-Lewin,11.4,dominic calvert-lewin,100,Dominic,Calvert-Lewin,FWD,60
Matty Cash,4.2,matty cash,100,Matty,Cash,DEF,45
Timothy Castagne,1.6,timothy castagne,100,Timothy,Castagne,DEF,45
Ben Chilwell,1.2,ben chilwell,100,Ben,Chilwell,DEF,50
Ryan Christie,2.3,ryan christie,100,Ryan,Christie,MID,50
Nathan Collins,1.7,nathan collins,100,Nathan,Collins,DEF,45
Levi Colwill,1.3,levi colwill,100,Levi,Colwill,DEF,45
Ben Davies,2.3,ben davies,100,Ben,Davies,DEF,45
Craig Dawson,1.5,craig dawson,100,Craig,Dawson,DEF,45
Kevin De Bruyne,2.4,kevin de bruyne,100,Kevin,De Bruyne,MID,95
Moussa Diaby,7,moussa diaby,100,Moussa,Diaby,MID,65
Lucas Digne,1.1,lucas digne,100,Lucas,Digne,DEF,45
Axel Disasi,2.4,axel disasi,100,Axel,Disasi,DEF,45
Jeremy Doku,2.5,jeremy doku,100,Jérémy,Doku,MID,65
Lewis Dunk,3.1,lewis dunk,100,Lewis,Dunk,DEF,45
Anthony Elanga,6.6,anthony elanga,100,Anthony,Elanga,MID,55
Harvey Elliott,2.7,harvey elliott,100,Harvey,Elliott,MID,55
Julio Enciso,1.4,julio enciso,100,Julio,Enciso,MID,55
Christian Eriksen,1,christian eriksen,100,Christian,Eriksen,MID,55
Eberechi Eze,8.3,eberechi eze,100,Eberechi,Eze,MID,70
Evan Ferguson,4.6,evan ferguson,100,Evan,Ferguson,FWD,55
Phil Foden,10.3,phil foden,100,Phil,Foden,MID,95
Cody Gakpo,9,cody gakpo,100,Cody,Gakpo,FWD,75
Conor Gallagher,4.2,conor gallagher,100,Conor,Gallagher,MID,60
Alejandro Garnacho,8.3,alejandro garnacho,100,Alejandro,Garnacho,MID,65
James Garner,2.7,james garner,100,James,Garner,MID,50
Morgan Gibbs-White,6.1,morgan gibbs-white,100,Morgan,Gibbs-White,MID,65
Billy Gilmour,1,billy gilmour,100,Billy,Gilmour,MID,50
Anthony Gordon,9.4,anthony gordon,100,Anthony,Gordon,MID,75
Ryan Gravenberch,2,ryan gravenberch,100,Ryan,Gravenberch,MID,50
Jack Grealish,2.1,jack grealish,100,Jack,Grealish,MID,65
Erling Haaland,22.9,erling haaland,100,Erling,Haaland,FWD,150
Jack Harrison,3.6,jack harrison,100,Jack,Harrison,MID,55
Kai Havertz,11.6,kai havertz,100,Kai,Havertz,FWD,80
Jan Paul van Hecke,1.2,jan paul van hecke,100,Jan Paul,van Hecke,DEF,45
Hwang Hee-chan,6.9,hwang hee-chan,100,Hwang,Hee-chan,MID,65
Son Heung-min,10.4,son heung-min,100,Son,Heung-min,MID,100
Jack Hinshelwood,1.9,jack hinshelwood,100,Jack,Hinshelwood,MID,50
Callum Hudson-Odoi,2.7,callum hudson-odoi,100,Callum,Hudson-Odoi,MID,55
Danny Ings,1.3,danny ings,100,Danny,Ings,FWD,50
Alexander Isak,15.6,alexander isak,100,Alexander,Isak,FWD,85
Alex Iwobi,5.3,alex iwobi,100,Alex,Iwobi,MID,55
Nicolas Jackson,18.6,nicolas jackson,100,Nicolas,Jackson,FWD,75
Vitaly Janelt,1.8,vitaly janelt,100,Vitaly,Janelt,MID,50
Brennan Johnson,10.3,brennan johnson,100,Brennan,Johnson,MID,65
Curtis Jones,2.6,curtis jones,100,Curtis,Jones,MID,55
Sasa Kalajdzic,1.1,sasa kalajdzic,100,Saša,Kalajdžić,FWD,50
Milos Kerkez,1.2,milos kerkez,100,Milos,Kerkez,DEF,45
Max Kilman,1.8,max kilman,100,Max,Kilman,DEF,45
Justin Kluivert,6.2,justin kluivert,100,Justin,Kluivert,MID,55
Mohammed Kudus,5.1,mohammed kudus,100,Mohammed,Kudus,MID,65
Dejan Kulusevski,4.7,dejan kulusevski,100,Dejan,Kulusevski,MID,65
Mario Lemina,4.6,mario lemina,100,Mario,Lemina,MID,50
Keane Lewis-Potter,6.3,keane lewis-potter,100,Keane,Lewis-Potter,MID,50
Sean Longstaff,6.6,sean longstaff,100,Sean,Longstaff,MID,50
Alexis Mac Allister,2.9,alexis mac allister,100,Alexis,Mac Allister,MID,65
James Maddison,6.4,james maddison,100,James,Maddison,MID,75
Noni Madueke,1.7,noni madueke,100,Noni,Madueke,MID,65
Harry Maguire,2,harry maguire,100,Harry,Maguire,DEF,50
Solly March,2,solly march,100,Solly,March,MID,65
Pape Matar Sarr,3.4,pape matar sarr,100,Pape Matar,Sarr,MID,50
Jean-Philippe Mateta,9.4,jean-philippe mateta,100,Jean-Philippe,Mateta,FWD,75
Neal Maupay,5.7,neal maupay,100,Neal,Maupay,FWD,50
Neal Maupay,1.4,neal maupay,100,Neal,Maupay,FWD,50
Konstantinos Mavropanos,1.2,konstantinos mavropanos,100,Konstantinos,Mavropanos,DEF,45
Bryan Mbeumo,7.4,bryan mbeumo,100,Bryan,Mbeumo,MID,70
John McGinn,5,john mcginn,100,John,McGinn,MID,55
Dwight McNeil,3.4,dwight mcneil,100,Dwight,McNeil,MID,55
Scott McTominay,5.7,scott mctominay,100,Scott,McTominay,MID,50
Ben Mee,1.5,ben mee,100,Ben,Mee,DEF,45
Lewis Miley,1.2,lewis miley,100,Lewis,Miley,MID,50
Tyrick Mitchell,1.6,tyrick mitchell,100,Tyrick,Mitchell,DEF,50
Kaoru Mitoma,3.5,mitoma kaoru,100,Mitoma,Kaoru,MID,65
Mykhailo Mudryk,4.4,mykhailo mudryk,100,Mykhailo,Mudryk,MID,65
Jacob Murphy,2.1,jacob murphy,100,Jacob,Murphy,MID,55
Eddie Nketiah,4.5,eddie nketiah,100,Eddie,Nketiah,FWD,60
Christopher Nkunku,2.3,christopher nkunku,100,Christopher,Nkunku,MID,65
Amadou Onana,2,amadou onana,100,Amadou,Onana,MID,50
Frank Onyeka,2.2,frank onyeka,100,Frank,Onyeka,MID,50
Dango Ouattara,2.6,dango ouattara,100,Dango,Ouattara,MID,50
Cole Palmer,11.1,cole palmer,100,Cole,Palmer,MID,105
Ethan Pinnock,2,ethan pinnock,100,Ethan,Pinnock,DEF,45
Pedro Porro,2.9,pedro porro,100,Pedro,Porro,DEF,55
Jarell Quansah,1,jarell quansah,100,Jarell,Quansah,DEF,45
Jacob Ramsey,2.2,jacob ramsey,100,Jacob,Ramsey,MID,55
Marcus Rashford,5.8,marcus rashford,100,Marcus,Rashford,MID,70
Tim Ream,1,tim ream,100,Tim,Ream,DEF,45
Declan Rice,3.3,declan rice,100,Declan,Rice,MID,65
Andrew Robertson,1.9,andrew robertson,100,Andrew,Robertson,DEF,60
Morgan Rogers,1.4,morgan rogers,100,Morgan,Rogers,MID,50
Cristian Romero,3.5,cristian romero,100,Cristian,Romero,DEF,50
Bukayo Saka,10.8,bukayo saka,100,Bukayo,Saka,MID,100
Mohamed Salah,15.5,mohamed salah,100,Mohamed,Salah,MID,125
William Saliba,1.6,william saliba,100,William,Saliba,DEF,60
Pablo Sarabia,3.9,pablo sarabia,100,Pablo,Sarabia,MID,55
Kevin Schade,1.2,kevin schade,100,Kevin,Schade,MID,55
Jeffrey Schlupp,1.8,jeffrey schlupp,100,Jeffrey,Schlupp,MID,50
Antoine Semenyo,4.6,antoine semenyo,100,Antoine,Semenyo,MID,55
Marcos Senesi,2,marcos senesi,100,Marcos,Senesi,DEF,50
Luis Sinisterra,2.5,luis sinisterra,100,Luis,Sinisterra,MID,50
Emile Smith Rowe,2,emile smith rowe,100,Emile,Smith Rowe,MID,55
Raheem Sterling,6.5,raheem sterling,100,Raheem,Sterling,MID,70
John Stones,1,john stones,100,John,Stones,DEF,55
Dominik Szoboszlai,3.7,dominik szoboszlai,100,Dominik,Szoboszlai,MID,65
James Tarkowski,2.6,james tarkowski,100,James,Tarkowski,DEF,50
Marcus Tavernier,3.9,marcus tavernier,100,Marcus,Tavernier,MID,55
Youri Tielemans,1.3,youri tielemans,100,Youri,Tielemans,MID,55
Harry Toffolo,1.6,harry toffolo,100,Harry,Toffolo,DEF,45
Takehiro Tomiyasu,1.5,tomiyasu takehiro,100,Tomiyasu,Takehiro,DEF,50
Ivan Toney,6,ivan toney,100,Ivan,Toney,FWD,75
Pau Torres,1,pau torres,100,Pau,Torres,DEF,45
Leandro Trossard,7.9,leandro trossard,100,Leandro,Trossard,MID,70
Destiny Udogie,2.4,destiny udogie,100,Destiny,Udogie,DEF,50
Virgil van Dijk,2.8,virgil van dijk,100,Virgil,van Dijk,DEF,60
James Ward-Prowse,4.4,james ward-prowse,100,James,Ward-Prowse,MID,65
Ollie Watkins,16.8,ollie watkins,100,Ollie,Watkins,FWD,90
Danny Welbeck,5.3,danny welbeck,100,Danny,Welbeck,FWD,55
Timo Werner,3.7,timo werner,100,Timo,Werner,MID,65
Callum Wilson,7.2,callum wilson,100,Callum,Wilson,FWD,70
Harry Wilson,3.4,harry wilson,100,Harry,Wilson,MID,55
Yoane Wissa,10.6,yoane wissa,100,Yoane,Wissa,FWD,60
Chris Wood,11.9,chris wood,100,Chris,Wood,FWD,60
Yehor Yarmoliuk,1,yehor yarmoliuk,100,Yehor,Yarmoliuk,MID,45
Ryan Yates,2.6,ryan yates,100,Ryan,Yates,MID,50
Illia Zabarnyi,1.1,illia zabarnyi,100,Illia,Zabarnyi,DEF,45
Kurt Zouma,1.8,kurt zouma,100,Kurt,Zouma,DEF,45
Beto,6,,,Beto,,FWD,50
Casemiro,3.5,,,Casemiro,,MID,50
Matheus Cunha,8.7,,,Matheus,Cunha,FWD,65
Diogo Jota,5.3,,,Diogo,Jota,MID,75
Murillo,1.8,,,Murillo,,DEF,45
Darwin NÃºÃ±ez,15.5,,,Darwin,Nunez,FWD,75
Lucas PaquetÃ¡,3.8,,,Lucas,Paqueta,MID,60
Rodri,4.1,,,Rodri,,MID,65