Rk,Player,Nation,Pos,Squad,Age,Born,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,xG,npxG,xAG,npxG+xAG,PrgC,PrgP,PrgR
146,Issa Diop,fr FRA,DF,Fulham,26,1997,18,16,1424,15.8,0,0,0,0,0,0,4,1,0.3,0.3,0,0.3,11,66,1
147,Axel Disasi,fr FRA,DF,Chelsea,25,1998,31,29,2579,28.7,2,0,2,2,0,0,6,0,2.4,2.4,0.3,2.7,30,112,21
148,Ben Doak,sct SCO,FW,Liverpool,17,2005,1,0,14,0.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
149,Lewis Dobbin,eng ENG,MF,Everton,20,2003,12,1,232,2.6,1,0,1,1,0,0,1,0,0.3,0.3,0.5,0.8,6,3,20
150,Matt Doherty,ie IRL,"DF,MF",Wolves,31,1992,30,9,1150,12.8,1,0,1,1,0,0,2,0,0.8,0.8,1.3,2.2,12,31,64
Rk,Player,Nation,Pos,Squad,Age,Born,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,xG,npxG,xAG,npxG+xAG,PrgC,PrgP,PrgR
151,Jeremy Doku,be BEL,"FW,MF",Manchester City,21,2002,29,18,1595,17.7,3,8,11,3,0,0,3,0,2.5,2.5,4.6,7.1,218,57,295
152,NicolÃ¡s DomÃ­nguez,ar ARG,"MF,FW",Nott'ham Forest,25,1998,26,19,1495,16.6,2,2,4,2,0,0,4,0,1.3,1.3,1,2.3,14,91,43
153,Jamie Donley,eng ENG,FW,Tottenham,18,2005,3,0,3,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
154,Abdoulaye DoucourÃ©,ml MLI,"FW,MF",Everton,30,1993,32,32,2629,29.2,7,1,8,7,0,0,7,0,8.8,8.8,2.9,11.6,55,97,140
155,Cheick DoucourÃ©,ml MLI,MF,Crystal Palace,23,2000,11,11,919,10.2,0,0,0,0,0,0,2,0,0.3,0.3,0.7,1,9,49,5
156,Alfie Doughty,eng ENG,DF,Luton Town,23,1999,37,34,2925,32.5,2,8,10,2,0,0,5,0,1.3,1.3,6.3,7.6,94,106,164
157,Tommy Doyle,eng ENG,MF,Wolves,21,2001,26,11,1222,13.6,0,0,0,0,0,0,2,0,0.4,0.4,0.4,0.9,21,81,17
158,Radu DrÄguÈin,ro ROU,DF,Tottenham,21,2002,9,4,429,4.8,0,0,0,0,0,0,1,0,0.1,0.1,0,0.1,5,8,1
159,Martin DÃºbravka,sk SVK,GK,Newcastle Utd,34,1989,23,22,1985,22.1,0,0,0,0,0,0,1,0,0,0,0.1,0.1,0,0,0
160,Paul Dummett,wls WAL,DF,Newcastle Utd,31,1991,5,0,20,0.2,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0
161,Lewis Dunk,eng ENG,DF,Brighton,31,1991,33,33,2869,31.9,3,1,4,3,0,0,7,1,3.1,3.1,0.9,4,33,152,13
162,Jhon DurÃ¡n,co COL,"FW,MF",Aston Villa,19,2003,23,3,475,5.3,5,0,5,5,0,0,5,0,2,2,0.3,2.3,9,9,25
163,George Earthy,eng ENG,FW,West Ham,18,2004,3,0,34,0.4,1,0,1,1,0,0,0,0,0.3,0.3,0,0.3,0,1,3
164,Ederson,br BRA,GK,Manchester City,29,1993,33,33,2785,30.9,0,0,0,0,0,0,5,0,0,0,0.1,0.1,0,4,0
165,Odsonne Ãdouard,fr FRA,"FW,MF",Crystal Palace,25,1998,30,17,1555,17.3,7,0,7,7,0,0,4,0,6.2,6.2,1.2,7.4,33,36,100
166,John Egan,ie IRL,DF,Sheffield Utd,30,1992,6,6,482,5.4,0,0,0,0,0,0,2,0,0.2,0.2,0,0.2,0,5,1
167,Hjalmar Ekdal,se SWE,DF,Burnley,24,1998,8,5,437,4.9,0,0,0,0,0,0,2,0,0.1,0.1,0.1,0.1,5,11,1
168,Anthony Elanga,se SWE,"FW,MF",Nott'ham Forest,21,2002,36,25,2433,27,5,9,14,5,0,0,1,0,6.6,6.6,6.7,13.3,98,49,196
169,Harvey Elliott,eng ENG,"MF,FW",Liverpool,20,2003,34,11,1352,15,3,6,9,3,0,0,2,0,2.7,2.7,3.5,6.2,44,128,122
170,Mohamed Elneny,eg EGY,MF,Arsenal,31,1992,3,0,28,0.3,0,0,0,0,0,0,0,0,0.1,0.1,0,0.1,1,1,0
171,Emerson,br BRA,DF,Tottenham,24,1999,22,11,1161,12.9,1,0,1,1,0,0,4,0,0.2,0.2,0.4,0.6,21,57,35
172,Julio Enciso,py PAR,"MF,FW",Brighton,19,2004,12,5,475,5.3,0,2,2,0,0,0,2,0,1.4,1.4,1.7,3.2,28,21,29
173,Wataru Endo,jp JPN,MF,Liverpool,30,1993,29,20,1722,19.1,1,0,1,1,0,0,10,0,0.5,0.5,1.7,2.3,10,101,21
174,Christian Eriksen,dk DEN,MF,Manchester Utd,31,1992,22,12,1141,12.7,1,2,3,1,0,0,1,0,1,1,2.3,3.3,20,68,23
175,Maxime EstÃ¨ve,fr FRA,DF,Burnley,21,2002,16,15,1309,14.5,0,0,0,0,0,0,6,0,0.3,0.3,0,0.3,15,40,3
Rk,Player,Nation,Pos,Squad,Age,Born,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,xG,npxG,xAG,npxG+xAG,PrgC,PrgP,PrgR
176,Pervis EstupiÃ±Ã¡n,ec ECU,DF,Brighton,25,1998,19,15,1243,13.8,2,3,5,2,0,0,4,0,1,1,3.5,4.4,47,83,88
177,Jonny Evans,nir NIR,DF,Manchester Utd,35,1988,23,15,1392,15.5,0,1,1,0,0,0,2,0,0.1,0.1,1.2,1.2,7,37,1
178,Eberechi Eze,eng ENG,"MF,FW",Crystal Palace,25,1998,27,24,2055,22.8,11,4,15,10,1,1,3,0,9.1,8.3,5.2,13.5,68,93,139
179,Åukasz FabiaÅski,pl POL,GK,West Ham,38,1985,10,7,721,8,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
180,Romain Faivre,fr FRA,"MF,FW",Bournemouth,25,1998,5,0,41,0.5,0,0,0,0,0,0,1,0,0.2,0.2,0,0.2,4,5,4
181,Ansu Fati,es ESP,"MF,FW",Brighton,20,2002,19,3,521,5.8,2,0,2,2,0,0,2,0,3.4,3.4,0.8,4.2,16,28,50
182,Felipe,br BRA,DF,Nott'ham Forest,34,1989,7,4,375,4.2,0,0,0,0,0,0,4,0,0.1,0.1,0.1,0.2,1,6,0
183,Evan Ferguson,ie IRL,FW,Brighton,18,2004,27,15,1367,15.2,6,0,6,6,0,0,1,0,4.6,4.6,0.5,5.1,13,15,62
184,Bruno Fernandes,pt POR,"MF,FW",Manchester Utd,28,1994,35,35,3118,34.6,10,8,18,6,4,5,9,0,10,6.1,11.8,17.8,86,297,182
185,Enzo FernÃ¡ndez,ar ARG,MF,Chelsea,22,2001,28,26,2209,24.5,3,2,5,2,1,2,7,0,6.2,4.6,3.4,8,52,210,54
186,John Fleck,sct SCO,"MF,DF",Sheffield Utd,31,1991,4,1,92,1,0,0,0,0,0,0,1,0,0,0,0.4,0.4,2,3,0
187,Mark Flekken,nl NED,GK,Brentford,30,1993,37,37,3285,36.5,0,1,1,0,0,0,3,0,0,0,0.5,0.5,0,5,0
188,Phil Foden,eng ENG,"FW,MF",Manchester City,23,2000,35,33,2857,31.7,19,8,27,19,0,0,2,0,10.3,10.3,8.4,18.7,93,168,269
189,Wes Foderingham,eng ENG,GK,Sheffield Utd,32,1991,30,29,2649,29.4,0,0,0,0,0,0,2,0,0,0,0.1,0.1,0,0,0
190,Pablo Fornals,es ESP,"MF,FW",West Ham,27,1996,15,4,426,4.7,0,0,0,0,0,0,0,0,0.3,0.3,0.3,0.6,4,29,27
191,Omari Forson,eng ENG,FW,Manchester Utd,19,2004,4,1,70,0.8,0,1,1,0,0,0,0,0,0,0,0.2,0.2,1,2,2
192,Lyle Foster,za RSA,"FW,MF",Burnley,22,2000,24,22,1899,21.1,5,3,8,5,0,0,0,1,4.5,4.5,1.9,6.4,55,37,104
193,Matheus FranÃ§a,br BRA,"MF,FW",Crystal Palace,19,2004,10,1,232,2.6,0,1,1,0,0,0,1,0,0.4,0.4,0.9,1.2,12,8,12
194,Nathan Fraser,ie IRL,FW,Wolves,18,2005,7,1,186,2.1,0,0,0,0,0,0,1,0,0.3,0.3,0.1,0.4,1,2,21
195,Cody Gakpo,nl NED,"FW,MF",Liverpool,24,1999,35,17,1649,18.3,8,5,13,8,0,0,1,0,9,9,2.9,11.8,43,83,130
196,Conor Gallagher,eng ENG,MF,Chelsea,23,2000,37,37,3128,34.8,5,7,12,5,0,0,9,1,4.2,4.2,5,9.2,62,172,122
197,Idrissa Gana Gueye,sn SEN,MF,Everton,33,1989,25,24,1884,20.9,4,0,4,4,0,0,8,0,1.3,1.3,1.1,2.4,29,83,41
198,Alejandro Garnacho,ar ARG,FW,Manchester Utd,19,2004,36,30,2565,28.5,7,4,11,7,0,0,4,0,8.4,8.3,5.1,13.4,178,62,281
199,James Garner,eng ENG,MF,Everton,22,2001,37,34,3004,33.4,1,2,3,1,0,0,7,0,2.7,2.7,4.6,7.3,36,100,76
200,Saman Ghoddos,ir IRN,DF,Brentford,29,1993,19,7,739,8.2,1,0,1,1,0,0,5,0,0.3,0.3,1.1,1.4,22,36,31
Rk,Player,Nation,Pos,Squad,Age,Born,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,xG,npxG,xAG,npxG+xAG,PrgC,PrgP,PrgR
201,Morgan Gibbs-White,eng ENG,"MF,FW",Nott'ham Forest,23,2000,37,35,3156,35.1,5,10,15,4,1,1,9,0,6.9,6.1,8.4,14.6,80,170,181
202,Bryan Gil,es ESP,"FW,MF",Tottenham,22,2001,11,2,209,2.3,0,0,0,0,0,0,0,0,0.8,0.8,0.2,1,11,16,49
203,Alfie Gilchrist,eng ENG,DF,Chelsea,19,2003,11,2,207,2.3,1,0,1,1,0,0,1,0,0.3,0.3,0,0.3,1,7,4
204,Billy Gilmour,sct SCO,MF,Brighton,22,2001,30,24,2120,23.6,0,1,1,0,0,0,8,1,1,1,2,3,39,193,33
205,Ben Godfrey,eng ENG,DF,Everton,25,1998,15,13,1120,12.4,0,0,0,0,0,0,2,0,1.7,1.7,0.3,2,11,43,26
206,AndrÃ© Gomes,pt POR,"MF,FW",Everton,30,1993,12,3,508,5.6,1,0,1,1,0,0,4,0,0.3,0.3,0.4,0.7,8,36,29
207,JoÃ£o Gomes,br BRA,MF,Wolves,22,2001,34,32,2649,29.4,2,1,3,2,0,0,11,0,1.7,1.7,1.1,2.8,28,101,44
208,Toti Gomes,pt POR,DF,Wolves,24,1999,35,31,2772,30.8,1,3,4,1,0,0,7,0,1.6,1.6,1.2,2.8,22,79,11
209,Joe Gomez,eng ENG,DF,Liverpool,26,1997,32,17,1786,19.8,0,1,1,0,0,0,5,0,0.8,0.8,1.3,2.1,44,100,105
210,Sergio GÃ³mez,es ESP,"FW,MF",Manchester City,22,2000,6,0,53,0.6,0,1,1,0,0,0,0,0,0.2,0.2,0.2,0.4,4,2,4
211,Enso Gonzalez,py PAR,"MF,DF",Wolves,18,2005,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
212,Anthony Gordon,eng ENG,FW,Newcastle Utd,22,2001,35,34,2890,32.1,11,10,21,10,1,1,12,1,10.2,9.4,8,17.4,138,101,232
213,Kaide Gordon,eng ENG,FW,Liverpool,18,2004,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
214,Daniel Gore,eng ENG,MF,Manchester Utd,18,2004,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
215,Ryan Gravenberch,nl NED,MF,Liverpool,21,2002,26,12,1121,12.5,1,0,1,1,0,0,0,0,2,2,0.9,2.9,39,78,71
216,Ivo GrbiÄ,hr CRO,GK,Sheffield Utd,27,1996,9,9,771,8.6,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
217,Jack Grealish,eng ENG,"FW,MF",Manchester City,27,1995,20,10,1009,11.2,3,1,4,3,0,0,6,0,2.1,2.1,2.5,4.6,87,50,146
218,Pascal GroÃ,de GER,"MF,DF",Brighton,32,1991,36,34,3114,34.6,4,10,14,3,1,1,6,0,6.5,5.7,8.1,13.8,83,302,180
219,Marc GuÃ©hi,eng ENG,DF,Crystal Palace,23,2000,25,23,2021,22.5,0,1,1,0,0,0,2,0,0.6,0.6,0.6,1.2,15,67,7
220,Bruno GuimarÃ£es,br BRA,MF,Newcastle Utd,25,1997,37,37,3263,36.3,7,8,15,7,0,0,9,0,4.8,4.8,6.4,11.2,65,283,73
221,Malo Gusto,fr FRA,DF,Chelsea,20,2003,27,19,1751,19.5,0,6,6,0,0,0,7,1,0.9,0.9,4.3,5.2,78,86,135
222,JoÅ¡ko Gvardiol,hr CRO,DF,Manchester City,21,2002,28,26,2328,25.9,4,1,5,4,0,0,3,0,3.1,3.1,1.4,4.5,63,136,115
223,Erling Haaland,no NOR,FW,Manchester City,23,2000,31,29,2552,28.4,27,5,32,20,7,8,1,0,29.2,22.9,4.3,27.2,35,26,126
224,Antwoine Hackford,eng ENG,FW,Sheffield Utd,19,2004,2,0,13,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
225,Lewis Hall,eng ENG,DF,Newcastle Utd,18,2004,18,8,781,8.7,1,0,1,1,0,0,2,0,0.3,0.3,0.3,0.6,19,46,27
Rk,Player,Nation,Pos,Squad,Age,Born,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,xG,npxG,xAG,npxG+xAG,PrgC,PrgP,PrgR
226,Gustavo Hamer,nl NED,MF,Sheffield Utd,26,1997,36,34,2910,32.3,4,6,10,4,0,0,9,0,3,3,6.1,9.1,36,135,86
227,Luke Harris,wls WAL,MF,Fulham,18,2005,1,0,75,0.8,0,0,0,0,0,0,0,0,0.3,0.3,0,0.3,0,1,0
228,Jack Harrison,eng ENG,"MF,FW",Everton,26,1996,29,25,2214,24.6,3,3,6,3,0,0,1,0,3.6,3.6,3.4,7,65,62,135
229,Daiki Hashioka,jp JPN,DF,Luton Town,24,1999,10,6,595,6.6,0,0,0,0,0,0,0,0,0.1,0.1,0.7,0.8,3,21,16
230,Kai Havertz,de GER,"MF,FW",Arsenal,24,1999,37,30,2634,29.3,13,7,20,12,1,1,11,0,12.3,11.6,4.4,15.9,55,99,191
231,Jan Paul van Hecke,nl NED,DF,Brighton,23,2000,28,26,2369,26.3,0,0,0,0,0,0,4,0,1.2,1.2,0.9,2.1,25,147,7
232,Hwang Hee-chan,kr KOR,"FW,MF",Wolves,27,1996,29,25,2119,23.5,12,3,15,11,1,1,6,0,7.7,6.9,3,9.9,37,37,120
233,Dean Henderson,eng ENG,GK,Crystal Palace,26,1997,18,18,1620,18,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0
234,Rico Henry,eng ENG,DF,Brentford,26,1997,5,5,401,4.5,0,1,1,0,0,0,1,0,0.1,0.1,1,1.1,13,20,12
235,Son Heung-min,kr KOR,FW,Tottenham,31,1992,35,34,2934,32.6,17,10,27,15,2,2,1,0,12,10.4,11.8,22.2,119,139,325
236,Aaron Hickey,sct SCO,DF,Brentford,21,2002,9,9,713,7.9,0,0,0,0,0,0,5,0,0.2,0.2,0.1,0.3,9,21,13
237,James Hill,eng ENG,DF,Bournemouth,21,2002,5,1,76,0.8,0,0,0,0,0,0,0,0,0,0,0,0,0,5,1
238,Jack Hinshelwood,eng ENG,DF,Brighton,18,2005,12,8,869,9.7,3,0,3,3,0,0,1,0,1.9,1.9,0.7,2.5,16,19,38
239,Mason Holgate,eng ENG,DF,Sheffield Utd,26,1996,10,9,710,7.9,0,0,0,0,0,0,3,1,0.6,0.6,0.4,1.1,0,13,0
240,Callum Hudson-Odoi,eng ENG,"FW,MF",Nott'ham Forest,22,2000,29,20,1854,20.6,8,1,9,8,0,0,0,0,2.7,2.7,2.8,5.5,111,58,171
241,Will Hughes,eng ENG,MF,Crystal Palace,28,1995,30,23,1891,21,0,1,1,0,0,0,6,0,0.3,0.3,1.1,1.5,14,76,17
242,Pierre HÃ¸jbjerg,dk DEN,MF,Tottenham,27,1995,36,8,1311,14.6,0,0,0,0,0,0,4,0,0.7,0.7,1.2,1.9,17,134,29
243,Rasmus HÃ¸jlund,dk DEN,FW,Manchester Utd,20,2003,30,25,2158,24,10,2,12,10,0,0,2,0,7.6,7.6,1.6,9.2,36,33,111
244,Igor,br BRA,DF,Brighton,25,1998,24,17,1637,18.2,0,0,0,0,0,0,4,0,0.3,0.3,0.7,1,30,107,12
245,Danny Ings,eng ENG,FW,West Ham,31,1992,20,3,404,4.5,1,0,1,1,0,0,1,0,1.3,1.3,0.3,1.5,7,8,29
246,Tim Iroegbunam,eng ENG,MF,Aston Villa,20,2003,9,1,164,1.8,0,0,0,0,0,0,0,0,0,0,0,0,3,1,0
247,Alexander Isak,se SWE,FW,Newcastle Utd,23,1999,30,27,2255,25.1,21,2,23,16,5,6,1,0,20.3,15.6,3.7,19.3,68,71,129
248,Alex Iwobi,ng NGA,MF,Everton,27,1996,2,2,140,1.6,0,0,0,0,0,0,0,0,0.3,0.3,0.2,0.5,6,4,8
249,Alex Iwobi,ng NGA,"FW,MF",Fulham,27,1996,30,25,2192,24.4,5,2,7,5,0,0,2,0,5.3,5.3,4.7,10,109,147,175
250,Nicolas Jackson,sn SEN,FW,Chelsea,22,2001,35,31,2799,31.1,14,5,19,14,0,0,10,0,18.6,18.6,4.3,22.9,70,67,200
Rk,Player,Nation,Pos,Squad,Age,Born,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,xG,npxG,xAG,npxG+xAG,PrgC,PrgP,PrgR
251,Reece James,eng ENG,DF,Chelsea,23,1999,10,5,419,4.7,0,2,2,0,0,0,2,2,0.3,0.3,1.7,2.1,19,21,35
252,Vitaly Janelt,de GER,"MF,DF",Brentford,25,1998,38,37,3054,33.9,1,3,4,1,0,0,8,0,1.8,1.8,4.8,6.5,25,123,81
253,Daniel Jebbison,eng ENG,FW,Sheffield Utd,19,2003,1,0,21,0.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
254,Mathias Jensen,dk DEN,MF,Brentford,27,1996,32,27,2204,24.5,3,3,6,3,0,0,5,0,0.7,0.7,4,4.7,19,123,66
255,Gabriel Jesus,br BRA,FW,Arsenal,26,1997,27,17,1478,16.4,4,5,9,4,0,0,6,0,6.3,6.3,3.8,10.1,38,42,155
256,RaÃºl JimÃ©nez,mx MEX,FW,Fulham,32,1991,24,18,1395,15.5,7,0,7,7,0,0,3,1,5.2,5.2,1.5,6.6,11,24,87
257,JoÃ£o Pedro,br BRA,"FW,MF",Brighton,21,2001,31,19,2045,22.7,9,3,12,5,4,5,2,0,11.9,7.9,3.8,11.7,83,92,205
258,Joelinton,br BRA,"MF,FW",Newcastle Utd,26,1996,20,15,1279,14.2,2,1,3,2,0,0,6,0,3.1,3.1,2.8,5.9,29,56,60
259,Ryan John Giles,eng ENG,"DF,MF",Luton Town,23,2000,11,5,503,5.6,0,0,0,0,0,0,0,0,0.1,0.1,0.2,0.3,9,17,30
260,Ben Johnson,eng ENG,"DF,FW",West Ham,23,2000,14,4,544,6,0,0,0,0,0,0,1,0,0.2,0.2,0,0.2,17,22,33
261,Brennan Johnson,wls WAL,FW,Tottenham,22,2001,32,23,2085,23.2,5,10,15,5,0,0,3,0,10.3,10.3,8.1,18.3,97,72,293
262,Brennan Johnson,wls WAL,"FW,MF",Nott'ham Forest,22,2001,3,3,237,2.6,0,0,0,0,0,0,0,0,0.3,0.3,0.2,0.5,8,1,14
263,Joseph Johnson,eng ENG,DF,Luton Town,17,2006,2,0,77,0.9,0,0,0,0,0,0,1,0,0,0,0,0,0,2,1
264,Sam Johnstone,eng ENG,GK,Crystal Palace,30,1993,20,20,1796,20,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
265,Curtis Jones,eng ENG,MF,Liverpool,22,2001,23,14,1167,13,1,1,2,1,0,0,3,1,2.6,2.6,0.7,3.3,31,74,88
266,Jorginho,it ITA,MF,Arsenal,31,1991,24,10,921,10.2,0,2,2,0,0,0,1,0,0.1,0.1,1.4,1.5,8,101,8
267,Diogo Jota,pt POR,FW,Liverpool,26,1996,21,14,1145,12.7,10,3,13,10,0,0,3,1,5.3,5.3,3.3,8.6,54,34,111
268,Mads Juel Andersen,dk DEN,DF,Luton Town,25,1997,8,4,400,4.4,1,0,1,1,0,0,1,0,0.3,0.3,0,0.3,0,7,1
269,Hamed Junior TraorÃ¨,ci CIV,MF,Bournemouth,23,2000,3,0,47,0.5,0,0,0,0,0,0,0,0,0.2,0.2,0,0.2,2,3,4
270,Mathias JÃ¸rgensen,dk DEN,DF,Brentford,33,1990,14,12,1087,12.1,1,0,1,1,0,0,4,0,0.7,0.7,0.9,1.7,5,50,4
271,Issa KaborÃ©,bf BFA,DF,Luton Town,22,2001,24,21,1729,19.2,0,2,2,0,0,0,7,0,0.2,0.2,2.1,2.3,60,54,85
272,Sasa Kalajdzic,at AUT,FW,Wolves,26,1997,11,1,166,1.8,2,0,2,2,0,0,0,0,1.1,1.1,1,2,1,5,9
273,Boubacar Kamara,fr FRA,MF,Aston Villa,23,1999,20,20,1652,18.4,0,1,1,0,0,0,7,1,0.1,0.1,1.3,1.4,19,83,10
274,Willy Kambwala,fr FRA,DF,Manchester Utd,18,2004,8,3,330,3.7,0,0,0,0,0,0,1,0,0,0,0,0,2,8,1
275,Thomas Kaminski,be BEL,GK,Luton Town,30,1992,38,38,3405,37.8,0,0,0,0,0,0,3,0,0,0,0,0,0,1,0
Rk,Player,Nation,Pos,Squad,Age,Born,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,xG,npxG,xAG,npxG+xAG,PrgC,PrgP,PrgR
276,Loris Karius,de GER,GK,Newcastle Utd,30,1993,1,1,90,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
277,Michael Keane,eng ENG,DF,Everton,30,1993,9,4,439,4.9,1,0,1,1,0,0,2,0,0.7,0.7,0,0.7,4,14,3
278,Thilo Kehrer,de GER,"DF,MF",West Ham,26,1996,4,0,22,0.2,0,0,0,0,0,0,2,0,0,0,0,0,0,1,1
279,CaoimhÃ­n Kelleher,ie IRL,GK,Liverpool,24,1998,10,10,900,10,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
280,Lloyd Kelly,eng ENG,DF,Bournemouth,24,1998,23,17,1559,17.3,0,1,1,0,0,0,2,0,0.3,0.3,1.2,1.6,15,56,28
281,Omari Kellyman,eng ENG,FW,Aston Villa,17,2005,2,0,37,0.4,0,0,0,0,0,0,0,0,0.1,0.1,0,0.1,1,0,0
282,Milos Kerkez,hu HUN,DF,Bournemouth,19,2003,28,22,1970,21.9,0,1,1,0,0,0,4,1,1.2,1.2,0.8,2,46,44,93
283,Kaine Kesler-Hayden,eng ENG,"MF,DF",Aston Villa,20,2002,3,0,6,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
284,Max Kilman,eng ENG,DF,Wolves,26,1997,38,38,3420,38,2,0,2,2,0,0,7,0,1.8,1.8,1.4,3.2,22,117,5
285,Jakub Kiwior,pl POL,DF,Arsenal,23,2000,20,11,946,10.5,1,3,4,1,0,0,1,0,0.8,0.8,0.9,1.7,4,55,16
286,Justin Kluivert,nl NED,"MF,FW",Bournemouth,24,1999,32,26,1916,21.3,7,1,8,7,0,0,5,0,6.2,6.2,1.9,8.1,65,50,114
287,Luca Koleosho,it ITA,"MF,FW",Burnley,18,2004,15,13,974,10.8,1,1,2,1,0,0,0,0,2,2,1.3,3.3,53,19,82
288,Ibrahima KonatÃ©,fr FRA,DF,Liverpool,24,1999,22,17,1574,17.5,0,0,0,0,0,0,5,1,0.7,0.7,0.4,1.1,24,118,3
289,Ezri Konsa,eng ENG,DF,Aston Villa,25,1997,35,35,3069,34.1,1,0,1,1,0,0,5,0,2.5,2.5,0.5,3,37,136,33
